,Date,Exchange,Cause of Hack,Amount Stolen (USD),Notes,Source,Tags,NeedDiscussion
60,"2021, June 16",Alchemix,Access control issue allowed users to harvest yields from accounts,N/A,,https://medium.com/immunefi/alchemix-access-control-bug-fix-debrief-a13d39b9f2e0,Inconsistent access control,0
61,"2021, May 28",Belt Finance,mismatch between calculated asset values and actual ones due to flash loan attack,"$50,000,000 ",calculation error,https://medium.com/belt-finance/may-29-incident-report-865d20cc46ca,absence of coding logic or sanity check,0
62,"2021, May 28",BurgerSwap,Reentrancy due to missing require statement that could let anyone remove any amount from pool on protocol,"$7,200,000 ",re-entrancy,https://quillhashteam.medium.com/burgerswap-flash-loan-attack-analysis-888b1911daef,reentrancy,0
63,"2021, May 27",Wild Credit,Vulnerability in protocol,N/A,poor security measures,,,0
64,"2021, May 26",Merlin Lab (defunct),"new vault accidentally made public, contract mistakenly interpreted manually transferred funds as rewards and subsequently minted tokens","$330,000 ",,"https://rekt.news/merlin3-rekt/ , https://twitter.com/RugDocIO/status/1409821481941540866?s=19",inconsistent access control/absence of coding logic or sanity check/deployment mistake,1
65,"2021, May 26",Merlin Lab,Bug in price calculation,"$550,000 ",calculation error,"https://rekt.news/merlin2-rekt/ , https://bscscan.com/tx/0x664cbe3af9d7627819e1955a90d777d6cf492021eede057bc52686186da192e5",arithmetic mistake,1
66,"2021, May 26",Merlin Lab,inconsistent access control allowed attacker to manually increase token balance in wallet and manipulate calculated reward,"$680,000 ",,https://medium.com/amber-group/bsc-flash-loan-attack-the-three-copycats-e4cdbb65721e,inconsistent access control,1
67,"2021, May 24",AutoShark Finance,Manipulate flip balance to break minting function,"$822,000 ",,https://medium.com/amber-group/bsc-flash-loan-attack-the-three-copycats-e4cdbb65721e,inconsistent access control,0
68,"2021, May 19",Venus Protocol,Price manipulations caused either by improper price from oracle or venus team,N/A,,https://quillhashteam.medium.com/200-m-venus-protocol-hack-analysis-b044af76a1ae,faulty oracle,0
69,"2021, May 19",PancakeBunny,Flashloan attack taking advantage of flawed price calculation to mint more token than expected,"$200,000,000 ",flash loan,https://slowmist.medium.com/slowmist-pancakebunny-hack-analysis-4a708e284693,arithmetic mistake,0
70,"2021, May 16",bEarn Fi,Bug in withdraw logic caused by mismatches in withdraw amount and strategy logic denominations,"$11,000,000 ",,https://peckshield.medium.com/bearn-fi-incident-inconsistent-asset-denomination-between-vault-strategy-9b24b68ab1c0,internal book-keeping/absence of coding logic or sanity check,0
71,"2021, May 12",xToken,Failure to validate trade path for token exchange allowed for infinite mint,"$24,500,000 ",flash loan,https://medium.com/xtoken/initial-report-on-xbnta-xsnxa-exploit-d6e784387f8e,absence of coding logic or sanity check/unsafe or infinite token approval,0
72,"2021, May 8",Rari Capital,Flashloan attack manipulated artificially inflated values to withdraw more than deposited,"$15,000,000 ",,https://medium.com/rari-capital/5-8-2021-rari-ethereum-pool-post-mortem-60aab6a6f8f9,absence of coding logic or sanity check,0
73,"2021, May 1",Spartan Protocol,Calculation error in determining liquidity share when pool token is burned,"$30,000,000 ",calculation error,https://peckshield.medium.com/the-spartan-incident-root-cause-analysis-a0324cb4b42a,arithmetic mistakes,0
74,"2021, April 28",Uranium Finance,Accuracy processing error in contract balance calculation inflating balance 100x,"$50,000,000 ",,https://slowmist.medium.com/slowmist-analysis-of-uranium-finances-hacked-event-9c9d11af7b2b,arithmetic mistake,0
75,"2021, April 19",EasyFi,Malware compromized admin keys and drained protocol pools,"$9,000,000 ",,https://medium.com/easify-network/easyfi-security-incident-66c02a277a91,malware/compromised private key-wallet,0
76,"2021, April 4",Force DAO,Exploit reverting of tokens in failed transactions to mint tokens,"$376,000 ",,https://www.financemagnates.com/cryptocurrency/news/forcedao-exploited-for-367k-after-launch-due-to-engineering-oversight/,unhandled or mishandled exception,0
77,"2021, March 18",TurtleDex,Rug pull,"$2,400,000 ",,https://cryptoslate.com/binance-smart-chain-project-turtledex-pulls-the-rug-on-its-users-and-steals-2-5-million/,insider trade or other activities,0
78,"2021, March 16",Iron Finance,Mismatch between reward rate integers,"$170,000 ",,https://beincrypto.com/iron-finance-defi-exploit-explained-post-mortem/,arithmetic mistake/absence of coding logic or sanity check,0
79,"2021, March 14",Roll,Gained access to hot wallet through compromized private key,"$5,700,000 ",,https://tryroll.com/security-incident/,compromised private key-wallet,0
80,"2021, March 8",DODO,Bug in smart contract allowed hackers to create counterfeit tokens using flashloan,"$1,910,000 ",flash loans,https://dodoexhelp.zendesk.com/hc/en-us/articles/900004851126,reentrancy (?)/unsecured function,0
81,"2021, March 5",Paid Network,Compromised admin key to ugrade smart contract to burn and remint tokens,"160,000,000",infinite mint,https://paidnetwork.medium.com/paid-network-attack-postmortem-march-7-2021-9e4c0fef0e07,Inconsistent access control/compromised private key-wallet,0
82,"2021, March 4",Meerkat Finance,Suspected trusted insider/unclear,"$31,000,000 ",,https://cointelegraph.com/news/dev-says-31-million-meerkat-finance-exploit-was-a-test-will-return-funds,insider trade or other activities,0
83,"2021, February 27",Furucombo,Flawed logic in remote entity trust allowed for malware injection to transfer funds,"$14,000,000 ",malicious smart contract,https://peckshield.medium.com/the-furucombo-incident-analysis-cascading-trust-c90d22c7dda7,malicious code injection,0
84,"2021, February 13",Alpha Finance Lab + Cream Finance,Rounding error in borrow function calculation to inflate debt and debt share amounts,"$37,000,000 ",rounding error,https://blog.alphaventuredao.io/alpha-homora-v2-post-mortem/,arithmetic mistake,0
85,"2021, February 12",BT Finance,Bypassed function to limit contract deposits,"$1,500,000 ",,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,absence of coding logic or sanity check,0
86,"2021, February 8",Growth DeFi,Contract did not check match between LP assets + deposited token + allowed fake token to be deposited + swapped for real one,"$1,300,000 ",,https://growthdefi.medium.com/raave-farming-contract-exploit-explained-f3b6f0b3c1b3,Absence of coding logic or sanity check,0
87,"2021, February 4",Yearn Finance,"flash loan attack using borrowed ETH to manipulate DAI ratio in pool caused by loose slippage, 0% withdrawal fee, and unprotected earn() function","$11,000,000 ",flash loan,"https://slowmist.medium.com/slowmist-a-brief-analysis-of-yearn-finance-being-hacked-47a4e2d12c60 , https://github.com/yearn/yearn-security/blob/master/disclosures/2021-02-04.md",inconsistent access control,0
88,"2021, January 19",Saddle Finance (no specific exploit),"No code exploit, arbitraging for large profits","$275,000 ",,https://beincrypto.com/arbitraging-defi-whales-exploit-saddle-finance-launch-day/,,1
89,"2020, December 28",Cover Protocol,Memory error in reward calculation,"$5,000,000 ",memory error,https://slowmist.medium.com/a-brief-analysis-of-the-cover-protocol-hacked-event-700d747b309c,memory error/arithmetic mistakes,0
110,"2020, December 23",Livecoin,"Servers, backend, and nodes hacked and increased exchange rates",N/A,,https://www.zdnet.com/article/russian-crypto-exchange-livecoin-hacked-after-it-lost-control-of-its-servers/,compromised system-servers,0
111,"2020, December 21",EXMO,Gained access to hot wallet through compromized private key,"$4,000,000 ",,https://info.exmo.com/en/notifications/security-incident-report/,compromised private key-wallet,0
90,"2020, December 18",Warp Finance,Flash loan + swap used to manipulate token prices on vulnerable oracle used by exchange to borrow more than collateral,"$7,700,000 ",flash loan,"https://warpfinance.medium.com/warp-finance-exploit-summary-recovery-of-funds-5b8fe4a11898 , https://rekt.news/warp-finance-rekt/",oracle manipulation/unsecured oracle/sandwiching,0
112,"2020, December 1",BTC Markets,Internal staff error/mistake exposed client information,"$270,000 ",user's private details,https://twitter.com/BTCMarkets/status/1333667467823116288,data leak,0
91,"2020, November 21",Pickle Finance,Lack of contract verification and logic converters allowed for code injection,"30,000,000",poor design,https://github.com/banteg/evil-jar/blob/master/readme.md,absence of coding logic or sanity check,0
92,"2020, November 17",Origin Protocol,lack of asset validation and reentrancy protections in mint logic allowed for inflation of token,"7,000,000",flash loan,https://peckshield.medium.com/origin-dollar-incident-root-cause-analysis-f27e11988c90,reentrancy/absence of coding logic or sanity check,0
93,"2020, November 14",Value DeFi,bug in curve oracle to measure asset price taken advantage of using flashloans to manipulate price,"$6,000,000 ",flash loan,https://peckshield.medium.com/value-defi-incident-root-cause-analysis-fbab71faf373,oracle manipulation/unsecured oracle,0
94,"2020, November 12",Akropolis,failure to validate tokens and protect against reentrancy on deposit logic allowed for excess minting w/out backing,"$2,000,000 ",flash loan,https://peckshield.medium.com/akropolis-incident-root-cause-analysis-c11ee59e05d4,reentrancy/unsafe or infinite token approval,0
95,"2020, October 26",Harvest Finance,"flashloan attack used to manipulate prices, aided by weak deposit thresholds and mismatch between underlying asset value and market conditions","$24,000,000 ",flash loan,"https://medium.com/talking-crypto/the-harvest-finance-exploit-explained-2c28ea1b5955 , https://medium.com/harvest-finance/harvest-flashloan-economic-attack-post-mortem-3cf900d65217",other unsafe DeFi protocol dependency,0
97,"2020, September 29",Eminence (not formally deployed),flashloan to manipulate price of token,"$15,000,000 ",flash loan,"https://decrypt.co/43292/eminence-finance-exploit-leads-to-degen-soul-searching , https://twitter.com/bkiepuszewski/status/1310901151311835136?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1310901151311835136%7Ctwgr%5E2dd8b7a8dc3f1ea7ac7c2e35a691f8fba73bfb98%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fdecrypt.co%2F43292%2Feminence-finance-exploit-leads-to-degen-soul-searching",,1
113,"2020, September 25",KuCoin,Gained access to hot wallet through compromized private key,"$275,000,000 ",,https://www.kucoin.com/news/en-kucoin-ceo-livestream-recap-latest-updates-about-security-incident,compromised private key-wallet,0
98,"2020, September 13",bZx/ooki (rebrand),Bug allowed for asset duplication,"$8,000,000 ",evidence deleted,https://www.theblock.co/post/77656/defi-protocol-bzx-attacked-lost-8-million-faulty-code,other unfair or unsafe interaction/other coding mistake,1
99,"2020, September 7",Soft Yearn,Rebase price adjustment failed to apply during token swap/rebase calculation incorrect,"$250,000 ",,https://twitter.com/softyearnfi/status/1301915560654131202/photo/1,arithmetic mistake,0
100,"2020, August 4",Opyn,reuse of same pool of collateral assets (failure to track and update amount of ETH available for transaction),"$370,000 ",,https://peckshield.medium.com/opyn-hacks-root-cause-analysis-c65f3fe249db,internal book-keeping/absence of coding logic or sanity check,0
114,"2020, July 11",Cashaa,Malware to gain access to user's computer and obtain wallet information,"$3,100,000 ",,https://www.certik.com/resources/blog/analysis-how-hackers-stole-337-btc-cashaa-bitcoin-wallets,malware,0
101,"2020, June 29",Balancer,Incompatibility when composing (deflationary) tokens/lack of protections for token prices,,mostly flash loan,https://peckshield.medium.com/balancer-hacks-root-cause-and-loss-analysis-4916f7f0fff5,token standard incompatibility,0
115,"2020, June 29",Balancer,Vulnerability in protocol,"$500,000 ",,,,0
116,"2020, April 19",Lendf.me/dForce,Reentrancy attack using code injection to manipulate collateral amount without deposit,"$24,500,000 ",,https://medium.com/@peckshield/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09,reentrancy/code injection,0
117,"2020, April 18",Uniswap,Reentrancy attack to trade multiple batches in single transaction and manipulate prices,"$500,000 ",,https://medium.com/consensys-diligence/uniswap-audit-b90335ac007,reentrancy,0
103,"2020, February 15",bZx,Skipped sanity check on under-collateralized position allowed for price manipulation,"$900,000 ",,https://peckshield.medium.com/bzx-hack-full-disclosure-with-detailed-profit-analysis-e6b1fa9b18fc,absence of coding logic or sanity check/price manipulation,0
118,"2020, February 5",Altsbit,Gained access to hot wallet,"$70,000 ",method unknown,https://www.coindesk.com/markets/2020/02/10/new-crypto-exchange-altsbit-says-it-will-close-following-hack/,compromised private key-wallet,0
104,"2020, January 11",Fulcrum (information unavailable),Bugs and Re-entrancy attack,"$2,500,000 ",,https://blog.1inch.io/yes-we-hacked-bzx-fulcrum-but-one-month-ago-3f7e5c437ee3,reentrancy,1
120,"2019, November 26",Upbit,Gained access to hot wallet due to poor database security in storing private keys,"$49,000,000 ",,https://medium.com/merkle-science/hack-track-upbit-cryptocurrency-exchange-b1f17baa5a72,compromised private key-wallet,0
122,"2019, July 11",Bitpoint,Compromised system/servers to gain access to both hot and cold wallets,"$32,000,000 ",method unknown,https://www.zdnet.com/article/bitpoint-cryptocurrency-exchange-hacked-for-32-million/,compromised private key-wallet,0
123,"2019, June 27",Bitrue,Compromised system/servers to gain acess to hot wallet,"$4,500,000 ",,https://www.coindesk.com/markets/2019/06/27/singapore-exchange-bitrue-hacked-for-over-4-million-in-crypto/,compromised private key-wallet,0
124,"2019, June 6",Gatehub,Gained acess to database holding access tokens and compromised user accounts,"$9,500,000 ",,https://gatehub.net/blog/gatehub-update-investigation-continues/,compromised private key-wallet,0
125,"2019, May 7",Binance,Phishing and malware to gain access to user information and steal assets,"$40,000,000 ",,https://www.binance.com/en/support/announcement/360028031711,phishing/malware,0
126,"2019, March 29",Bithumb,Gained access to hot wallets,"$29,000,000 ",method unknown,https://www.coindesk.com/markets/2019/03/30/crypto-exchange-bithumb-hacked-for-13-million-in-suspected-insider-job/,compromised private key-wallet,0
127,"2019, March 25",Coinbene,Gained access to hot wallet,"$40,000,000 ","method unknown, exchange denies hack",https://peckshield.medium.com/coinbene-incident-investigation-report-6d4a3ed3b715,compromised private key-wallet,0
128,"2019, March 24",DragonEX,Compromised private keys to establish withdrawals,"$1,000,000 ",,"https://nakedsecurity.sophos.com/2019/03/27/dragonex-exchange-hacked-smoking-ashes-being-raked-over/ , https://hacked.slowmist.io/?c=Exchange&page=4",compromised private key-wallet,0
